Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Magnesium-24 (Z=12 A=24),Predict: R+vx->f,f_Hz,3.057e-18,1.56079e+22,299792,1.56079e+22,4.90338e+22,1.56079e+22,3.057e-18,9.60385e-18,3.057e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=24 | Rc=3.057fm | src=Angeli2013 | BE=198.257MeV
Magnesium-25 (Z=12 A=25),Predict: R+vx->f,f_Hz,3.0364e-18,1.57138e+22,299792,1.57138e+22,4.93664e+22,1.57138e+22,3.0364e-18,9.53913e-18,3.0364e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=25 | Rc=3.0364fm | src=Angeli2013 | BE=205.588MeV
Magnesium-26 (Z=12 A=26),Predict: R+vx->f,f_Hz,3.0341e-18,1.57257e+22,299792,1.57257e+22,4.94039e+22,1.57257e+22,3.0341e-18,9.53191e-18,3.0341e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=26 | Rc=3.0341fm | src=Angeli2013 | BE=216.683MeV
Aluminum-27 (Z=13 A=27),Predict: R+vx->f,f_Hz,3.061e-18,1.55875e+22,299792,1.55875e+22,4.89697e+22,1.55875e+22,3.061e-18,9.61642e-18,3.061e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=13 A=27 | Rc=3.061fm | src=Angeli2013 | BE=224.952MeV
Silicon-28 (Z=14 A=28),Predict: R+vx->f,f_Hz,3.1224e-18,1.5281e+22,299792,1.5281e+22,4.80067e+22,1.5281e+22,3.1224e-18,9.80931e-18,3.1224e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=28 | Rc=3.1224fm | src=Angeli2013 | BE=236.537MeV
Silicon-29 (Z=14 A=29),Predict: R+vx->f,f_Hz,3.104e-18,1.53716e+22,299792,1.53716e+22,4.82913e+22,1.53716e+22,3.104e-18,9.7515e-18,3.104e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=29 | Rc=3.104fm | src=Angeli2013 | BE=245.01MeV
Silicon-30 (Z=14 A=30),Predict: R+vx->f,f_Hz,3.1336e-18,1.52264e+22,299792,1.52264e+22,4.78352e+22,1.52264e+22,3.1336e-18,9.84449e-18,3.1336e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=30 | Rc=3.1336fm | src=Angeli2013 | BE=255.621MeV
Phosphorus-31 (Z=15 A=31),Predict: R+vx->f,f_Hz,3.1889e-18,1.49624e+22,299792,1.49624e+22,4.70056e+22,1.49624e+22,3.1889e-18,1.00182e-17,3.1889e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=15 A=31 | Rc=3.1889fm | src=Angeli2013 | BE=262.917MeV
Sulfur-32 (Z=16 A=32),Predict: R+vx->f,f_Hz,3.2611e-18,1.46311e+22,299792,1.46311e+22,4.59649e+22,1.46311e+22,3.2611e-18,1.0245e-17,3.2611e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=32 | Rc=3.2611fm | src=Angeli2013 | BE=271.781MeV
Sulfur-33 (Z=16 A=33),Predict: R+vx->f,f_Hz,3.2418e-18,1.47182e+22,299792,1.47182e+22,4.62386e+22,1.47182e+22,3.2418e-18,1.01844e-17,3.2418e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=33 | Rc=3.2418fm | src=Angeli2013 | BE=280.423MeV
Sulfur-34 (Z=16 A=34),Predict: R+vx->f,f_Hz,3.2858e-18,1.45211e+22,299792,1.45211e+22,4.56194e+22,1.45211e+22,3.2858e-18,1.03226e-17,3.2858e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=34 | Rc=3.2858fm | src=Angeli2013 | BE=291.839MeV
Sulfur-36 (Z=16 A=36),Predict: R+vx->f,f_Hz,3.3e-18,1.44586e+22,299792,1.44586e+22,4.54231e+22,1.44586e+22,3.3e-18,1.03673e-17,3.3e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=36 | Rc=3.3fm | src=Angeli2013 | BE=308.714MeV
Chlorine-35 (Z=17 A=35),Predict: R+vx->f,f_Hz,3.3651e-18,1.41789e+22,299792,1.41789e+22,4.45444e+22,1.41789e+22,3.3651e-18,1.05718e-17,3.3651e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 A=35 | Rc=3.3651fm | src=Angeli2013 | BE=298.21MeV
Chlorine-37 (Z=17 A=37),Predict: R+vx->f,f_Hz,3.3966e-18,1.40474e+22,299792,1.40474e+22,4.41313e+22,1.40474e+22,3.3966e-18,1.06707e-17,3.3966e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 A=37 | Rc=3.3966fm | src=Angeli2013 | BE=317.105MeV
Argon-36 (Z=18 A=36),Predict: R+vx->f,f_Hz,3.4274e-18,1.39212e+22,299792,1.39212e+22,4.37347e+22,1.39212e+22,3.4274e-18,1.07675e-17,3.4274e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=36 | Rc=3.4274fm | src=Angeli2013 | BE=306.716MeV
Argon-38 (Z=18 A=38),Predict: R+vx->f,f_Hz,3.403e-18,1.4021e+22,299792,1.4021e+22,4.40483e+22,1.4021e+22,3.403e-18,1.06908e-17,3.403e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=38 | Rc=3.403fm | src=Angeli2013 | BE=327.343MeV
Argon-40 (Z=18 A=40),Predict: R+vx->f,f_Hz,3.4274e-18,1.39212e+22,299792,1.39212e+22,4.37347e+22,1.39212e+22,3.4274e-18,1.07675e-17,3.4274e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=40 | Rc=3.4274fm | src=Angeli2013 | BE=343.81MeV
Potassium-39 (Z=19 A=39),Predict: R+vx->f,f_Hz,3.4349e-18,1.38908e+22,299792,1.38908e+22,4.36392e+22,1.38908e+22,3.4349e-18,1.07911e-17,3.4349e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=39 | Rc=3.4349fm | src=Angeli2013 | BE=333.724MeV
Potassium-40 (Z=19 A=40),Predict: R+vx->f,f_Hz,3.4539e-18,1.38144e+22,299792,1.38144e+22,4.33991e+22,1.38144e+22,3.4539e-18,1.08507e-17,3.4539e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=40 | Rc=3.4539fm | src=Angeli2013 | BE=341.525MeV
Potassium-41 (Z=19 A=41),Predict: R+vx->f,f_Hz,3.4511e-18,1.38256e+22,299792,1.38256e+22,4.34343e+22,1.38256e+22,3.4511e-18,1.0842e-17,3.4511e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=41 | Rc=3.4511fm | src=Angeli2013 | BE=351.618MeV
Calcium-40 (Z=20 A=40),Predict: R+vx->f,f_Hz,3.4776e-18,1.37202e+22,299792,1.37202e+22,4.31034e+22,1.37202e+22,3.4776e-18,1.09252e-17,3.4776e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=40 | Rc=3.4776fm | src=Angeli2013 | BE=342.052MeV
