Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Zinc-66 (Z=30 A=66),Map:     f+R->vx,vx_kms,3.949e-18,1.3979e+23,3.46852e+06,1.3979e+23,4.39165e+23,1.3979e+23,3.949e-18,1.24061e-17,3.949e-18,3.46852e+06,1.10407e+06,3.46852e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0864323,unresolved nearest=1 (91.4%),C1,Z=30 A=66 | Rc=3.949fm | src=Angeli2013 | BE=578.127MeV
Zinc-68 (Z=30 A=68),Map:     f+R->vx,vx_kms,3.975e-18,1.43963e+23,3.59558e+06,1.43963e+23,4.52274e+23,1.43963e+23,3.975e-18,1.24878e-17,3.975e-18,3.59558e+06,1.14451e+06,3.59558e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0833781,unresolved nearest=1 (91.7%),C1,Z=30 A=68 | Rc=3.975fm | src=Angeli2013 | BE=595.384MeV
Zinc-70 (Z=30 A=70),Map:     f+R->vx,vx_kms,3.995e-18,1.4776e+23,3.70896e+06,1.4776e+23,4.64201e+23,1.4776e+23,3.995e-18,1.25507e-17,3.995e-18,3.70896e+06,1.1806e+06,3.70896e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0808292,unresolved nearest=1 (91.9%),C1,Z=30 A=70 | Rc=3.995fm | src=Angeli2013 | BE=611.085MeV
Germanium-70 (Z=32 A=70),Map:     f+R->vx,vx_kms,4.045e-18,1.47623e+23,3.75191e+06,1.47623e+23,4.63771e+23,1.47623e+23,4.045e-18,1.27077e-17,4.045e-18,3.75191e+06,1.19427e+06,3.75191e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.079904,unresolved nearest=1 (92.0%),C1,Z=32 A=70 | Rc=4.045fm | src=Angeli2013 | BE=610.519MeV
Germanium-72 (Z=32 A=72),Map:     f+R->vx,vx_kms,4.058e-18,1.52091e+23,3.87788e+06,1.52091e+23,4.77807e+23,1.52091e+23,4.058e-18,1.27486e-17,4.058e-18,3.87788e+06,1.23437e+06,3.87788e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0773084,unresolved nearest=1 (92.3%),C1,Z=32 A=72 | Rc=4.058fm | src=Angeli2013 | BE=628.996MeV
Germanium-73 (Z=32 A=73),Map:     f+R->vx,vx_kms,4.0632e-18,1.53894e+23,3.92889e+06,1.53894e+23,4.83472e+23,1.53894e+23,4.0632e-18,1.27649e-17,4.0632e-18,3.92889e+06,1.2506e+06,3.92889e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0763047,unresolved nearest=1 (92.4%),C1,Z=32 A=73 | Rc=4.0632fm | src=Angeli2013 | BE=636.454MeV
Germanium-74 (Z=32 A=74),Map:     f+R->vx,vx_kms,4.0742e-18,1.56512e+23,4.00655e+06,1.56512e+23,4.91698e+23,1.56512e+23,4.0742e-18,1.27995e-17,4.0742e-18,4.00655e+06,1.27533e+06,4.00655e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0748256,unresolved nearest=1 (92.5%),C1,Z=32 A=74 | Rc=4.0742fm | src=Angeli2013 | BE=647.283MeV
Germanium-76 (Z=32 A=76),Map:     f+R->vx,vx_kms,4.0811e-18,1.59738e+23,4.09606e+06,1.59738e+23,5.01832e+23,1.59738e+23,4.0811e-18,1.28212e-17,4.0811e-18,4.09606e+06,1.30381e+06,4.09606e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0731905,unresolved nearest=1 (92.7%),C1,Z=32 A=76 | Rc=4.0811fm | src=Angeli2013 | BE=660.624MeV
Selenium-74 (Z=34 A=74),Map:     f+R->vx,vx_kms,4.075e-18,1.56082e+23,3.99632e+06,1.56082e+23,4.90346e+23,1.56082e+23,4.075e-18,1.2802e-17,4.075e-18,3.99632e+06,1.27207e+06,3.99632e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0750172,unresolved nearest=1 (92.5%),C1,Z=34 A=74 | Rc=4.075fm | src=Angeli2013 | BE=645.503MeV
Selenium-76 (Z=34 A=76),Map:     f+R->vx,vx_kms,4.0993e-18,1.60873e+23,4.14356e+06,1.60873e+23,5.05398e+23,1.60873e+23,4.0993e-18,1.28783e-17,4.0993e-18,4.14356e+06,1.31893e+06,4.14356e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0723515,unresolved nearest=1 (92.8%),C1,Z=34 A=76 | Rc=4.0993fm | src=Angeli2013 | BE=665.318MeV
