Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,T1_Cl_Summary,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Earth-Moon system 384400 km,Predict: R+vx->f,f_Hz,384400,0.124124,299792,0.124124,0.389949,0.124124,384400,1.20763e+06,384400,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Predict mode: Earth-Moon distance
H2 molecule bond length,Map:     f+R->vx,vx_kms,7.4e-14,3.72997e+15,1734.27,3.72997e+15,1.1718e+16,3.72997e+15,7.4e-14,2.32478e-13,7.4e-14,1734.27,552.035,1734.27,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,172.864,pi/(2alpha) (err=19.69%),C1,H2 molecular ionization 15.4259eV bond 74pm
H2O bond O-H,Map:     f+R->vx,vx_kms,9.6e-14,3.05174e+15,1840.77,3.05174e+15,9.58734e+15,3.05174e+15,9.6e-14,3.01593e-13,9.6e-14,1840.77,585.935,1840.77,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,162.863,1/alpha (err=18.85%),C1,Water O-H bond 96pm IE 12.621eV
N2 triple bond,Map:     f+R->vx,vx_kms,1.0976e-13,3.76747e+15,2598.21,3.76747e+15,1.18359e+16,3.76747e+15,1.0976e-13,3.44821e-13,1.0976e-13,2598.21,827.035,2598.21,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,115.384,1/alpha (err=15.80%),C1,Nitrogen molecule bond 109.76pm IE 15.581eV
O2 double bond,Map:     f+R->vx,vx_kms,1.2074e-13,2.91844e+15,2214.02,2.91844e+15,9.16855e+15,2.91844e+15,1.2074e-13,3.79316e-13,1.2074e-13,2214.02,704.745,2214.02,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,135.406,1/alpha (err=1.19%),C1,Oxygen molecule bond 120.74pm IE 12.0697eV
CO2 C-O bond,Map:     f+R->vx,vx_kms,1.163e-13,3.33126e+15,2434.27,3.33126e+15,1.04655e+16,3.33126e+15,1.163e-13,3.65367e-13,1.163e-13,2434.27,774.852,2434.27,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,123.155,1/alpha (err=10.13%),C1,Carbon dioxide C-O 116.3pm IE 13.777eV
CH4 methane C-H bond,Map:     f+R->vx,vx_kms,1.087e-13,3.04908e+15,2082.47,3.04908e+15,9.57898e+15,3.04908e+15,1.087e-13,3.41491e-13,1.087e-13,2082.47,662.871,2082.47,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,143.96,1/alpha (err=5.05%),C1,Methane C-H 108.7pm IE 12.61eV
NH3 ammonia N-H,Map:     f+R->vx,vx_kms,1.017e-13,2.43492e+15,1555.91,2.43492e+15,7.64951e+15,2.43492e+15,1.017e-13,3.195e-13,1.017e-13,1555.91,495.262,1555.91,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,192.68,pi/(2alpha) (err=10.49%),C1,Ammonia N-H 101.7pm IE 10.07eV
HCl molecule,Map:     f+R->vx,vx_kms,1.275e-13,3.08052e+15,2467.82,3.08052e+15,9.67773e+15,3.08052e+15,1.275e-13,4.00553e-13,1.275e-13,2467.82,785.532,2467.82,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,121.481,1/alpha (err=11.35%),C1,Hydrogen chloride 127.5pm IE 12.74eV
NaCl bond,Map:     f+R->vx,vx_kms,2.361e-13,2.22455e+15,3300.03,2.22455e+15,6.98863e+15,2.22455e+15,2.361e-13,7.4173e-13,2.361e-13,3300.03,1050.43,3300.03,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,90.8453,phi^9 (err=19.51%),C1,Sodium chloride bond 236.1pm IE ~9.2eV
