Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hassium (Hs Z=108),Map:     f+R->vx,vx_kms,1.34e-13,1.83767e+15,1547.22,1.83767e+15,5.77322e+15,1.83767e+15,1.34e-13,4.20973e-13,1.34e-13,1547.22,492.496,1547.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,193.762,pi/(2alpha) (err=9.99%),C1+G1,Z=108 | Cov=134pm | geo=theoretical | IE=7.6eV
Meitnerium (Mt Z=109),Map:     f+R->vx,vx_kms,1.29e-13,2.10365e+15,1705.07,2.10365e+15,6.60881e+15,2.10365e+15,1.29e-13,4.05265e-13,1.29e-13,1705.07,542.742,1705.07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,175.824,pi/(2alpha) (err=18.32%),C1+G1,Z=109 | Cov=129pm | geo=theoretical | IE=8.7eV
Darmstadtium (Ds Z=110),Map:     f+R->vx,vx_kms,1.28e-13,2.24873e+15,1808.54,2.24873e+15,7.06459e+15,2.24873e+15,1.28e-13,4.02124e-13,1.28e-13,1808.54,575.675,1808.54,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,165.765,1/alpha (err=20.96%),C1+G1,Z=110 | Cov=128pm | geo=theoretical | IE=9.3eV
Roentgenium (Rg Z=111),Map:     f+R->vx,vx_kms,1.21e-13,2.56307e+15,1948.61,2.56307e+15,8.05212e+15,2.56307e+15,1.21e-13,3.80133e-13,1.21e-13,1948.61,620.263,1948.61,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,153.849,1/alpha (err=12.27%),C1+G1,Z=111 | Cov=121pm | geo=theoretical | IE=10.6eV
Copernicium (Cn Z=112),Map:     f+R->vx,vx_kms,1.22e-13,2.90159e+15,2224.21,2.90159e+15,9.1156e+15,2.90159e+15,1.22e-13,3.83274e-13,1.22e-13,2224.21,707.987,2224.21,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,134.786,1/alpha (err=1.64%),C1+G1,Z=112 | Cov=122pm | geo=theoretical | IE=12.0eV
Nihonium (Nh Z=113),Map:     f+R->vx,vx_kms,1.36e-13,1.76513e+15,1508.33,1.76513e+15,5.54533e+15,1.76513e+15,1.36e-13,4.27257e-13,1.36e-13,1508.33,480.116,1508.33,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,198.758,pi/(2alpha) (err=7.66%),C1+G1,Z=113 | Cov=136pm | geo=theoretical | IE=7.3eV
Flerovium (Fl Z=114),Map:     f+R->vx,vx_kms,1.43e-13,2.07947e+15,1868.4,2.07947e+15,6.53285e+15,2.07947e+15,1.43e-13,4.49248e-13,1.43e-13,1868.4,594.729,1868.4,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,160.455,1/alpha (err=17.09%),C1+G1,Z=114 | Cov=143pm | geo=theoretical | IE=8.6eV
Moscovium (Mc Z=115),Map:     f+R->vx,vx_kms,1.62e-13,1.40243e+15,1427.5,1.40243e+15,4.40588e+15,1.40243e+15,1.62e-13,5.08938e-13,1.62e-13,1427.5,454.389,1427.5,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,210.012,pi/(2alpha) (err=2.44%),C1+G1,Z=115 | Cov=162pm | geo=theoretical | IE=5.8eV
Livermorium (Lv Z=116),Map:     f+R->vx,vx_kms,1.75e-13,1.74095e+15,1914.28,1.74095e+15,5.46936e+15,1.74095e+15,1.75e-13,5.49779e-13,1.75e-13,1914.28,609.333,1914.28,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,156.609,1/alpha (err=14.28%),C1+G1,Z=116 | Cov=175pm | geo=theoretical | IE=7.2eV
Tennessine (Ts Z=117),Map:     f+R->vx,vx_kms,1.65e-13,1.86185e+15,1930.23,1.86185e+15,5.84918e+15,1.86185e+15,1.65e-13,5.18363e-13,1.65e-13,1930.23,614.411,1930.23,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,155.314,1/alpha (err=13.34%),C1+G1,Z=117 | Cov=165pm | geo=theoretical | IE=7.7eV
Oganesson (Og Z=118),Map:     f+R->vx,vx_kms,1.57e-13,2.15201e+15,2122.87,2.15201e+15,6.76074e+15,2.15201e+15,1.57e-13,4.9323e-13,1.57e-13,2122.87,675.731,2122.87,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,141.22,1/alpha (err=3.05%),C1+G1,Z=118 | Cov=157pm | geo=theoretical | IE=8.9eV
