Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen (H Z=1),Map:     f+R->vx,vx_kms,3.1e-14,3.28808e+15,640.448,3.28808e+15,1.03298e+16,3.28808e+15,3.1e-14,9.73894e-14,3.1e-14,640.448,203.861,640.448,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,468.098,unresolved nearest=2/alpha (70.8%),C1,Z=1 | Cov=31pm | geo=measured | IE=13.5984eV
Titanium (Ti Z=22),Map:     f+R->vx,vx_kms,1.6e-13,1.65103e+15,1659.79,1.65103e+15,5.18686e+15,1.65103e+15,1.6e-13,5.02655e-13,1.6e-13,1659.79,528.329,1659.79,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,180.62,pi/(2alpha) (err=16.09%),C1,Z=22 | Cov=160pm | geo=measured | IE=6.8281eV
Vanadium (V Z=23),Map:     f+R->vx,vx_kms,1.53e-13,1.63122e+15,1568.14,1.63122e+15,5.12464e+15,1.63122e+15,1.53e-13,4.80664e-13,1.53e-13,1568.14,499.155,1568.14,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,191.177,pi/(2alpha) (err=11.19%),C1,Z=23 | Cov=153pm | geo=measured | IE=6.7462eV
Chromium (Cr Z=24),Map:     f+R->vx,vx_kms,1.39e-13,1.63613e+15,1428.94,1.63613e+15,5.14006e+15,1.63613e+15,1.39e-13,4.36681e-13,1.39e-13,1428.94,454.845,1428.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,209.801,pi/(2alpha) (err=2.53%),C1,Z=24 | Cov=139pm | geo=measured | IE=6.7665eV
Manganese (Mn Z=25),Map:     f+R->vx,vx_kms,1.39e-13,1.79753e+15,1569.9,1.79753e+15,5.64712e+15,1.79753e+15,1.39e-13,4.36681e-13,1.39e-13,1569.9,499.714,1569.9,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,190.963,pi/(2alpha) (err=11.29%),C1,Z=25 | Cov=139pm | geo=measured | IE=7.434eV
Iron (Fe Z=26),Map:     f+R->vx,vx_kms,1.32e-13,1.91079e+15,1584.77,1.91079e+15,6.00293e+15,1.91079e+15,1.32e-13,4.1469e-13,1.32e-13,1584.77,504.449,1584.77,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,189.171,pi/(2alpha) (err=12.12%),C1,Z=26 | Cov=132pm | geo=measured | IE=7.9024eV
Cobalt (Co Z=27),Map:     f+R->vx,vx_kms,1.26e-13,1.90562e+15,1508.64,1.90562e+15,5.98667e+15,1.90562e+15,1.26e-13,3.95841e-13,1.26e-13,1508.64,480.216,1508.64,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,198.717,pi/(2alpha) (err=7.68%),C1,Z=27 | Cov=126pm | geo=measured | IE=7.881eV
Nickel (Ni Z=28),Map:     f+R->vx,vx_kms,1.24e-13,1.8473e+15,1439.26,1.8473e+15,5.80345e+15,1.8473e+15,1.24e-13,3.89557e-13,1.24e-13,1439.26,458.129,1439.26,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,208.297,pi/(2alpha) (err=3.23%),C1,Z=28 | Cov=124pm | geo=measured | IE=7.6398eV
Copper (Cu Z=29),Map:     f+R->vx,vx_kms,1.32e-13,1.86824e+15,1549.48,1.86824e+15,5.86923e+15,1.86824e+15,1.32e-13,4.1469e-13,1.32e-13,1549.48,493.214,1549.48,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,193.48,pi/(2alpha) (err=10.12%),C1,Z=29 | Cov=132pm | geo=measured | IE=7.7264eV
Zinc (Zn Z=30),Map:     f+R->vx,vx_kms,1.22e-13,2.27151e+15,1741.22,2.27151e+15,7.13615e+15,2.27151e+15,1.22e-13,3.83274e-13,1.22e-13,1741.22,554.248,1741.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,172.174,pi/(2alpha) (err=20.01%),C1,Z=30 | Cov=122pm | geo=measured | IE=9.3942eV
Gallium (Ga Z=31),Map:     f+R->vx,vx_kms,1.22e-13,1.45062e+15,1111.97,1.45062e+15,4.55727e+15,1.45062e+15,1.22e-13,3.83274e-13,1.22e-13,1111.97,353.952,1111.97,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,269.604,2/alpha (err=1.63%),C1,Z=31 | Cov=122pm | geo=measured | IE=5.9993eV
Germanium (Ge Z=32),Map:     f+R->vx,vx_kms,1.2e-13,1.91007e+15,1440.16,1.91007e+15,6.00065e+15,1.91007e+15,1.2e-13,3.76991e-13,1.2e-13,1440.16,458.416,1440.16,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,208.167,pi/(2alpha) (err=3.29%),C1,Z=32 | Cov=120pm | geo=measured | IE=7.8994eV
Arsenic (As Z=33),Map:     f+R->vx,vx_kms,1.19e-13,2.36687e+15,1769.71,2.36687e+15,7.43575e+15,2.36687e+15,1.19e-13,3.7385e-13,1.19e-13,1769.71,563.316,1769.71,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,169.402,pi/(2alpha) (err=21.30%),C1,Z=33 | Cov=119pm | geo=measured | IE=9.7886eV
Selenium (Se Z=34),Map:     f+R->vx,vx_kms,1.2e-13,2.35812e+15,1777.98,2.35812e+15,7.40825e+15,2.35812e+15,1.2e-13,3.76991e-13,1.2e-13,1777.98,565.949,1777.98,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,168.614,pi/(2alpha) (err=21.67%),C1,Z=34 | Cov=120pm | geo=measured | IE=9.7524eV
Bromine (Br Z=35),Map:     f+R->vx,vx_kms,1.2e-13,2.85656e+15,2153.8,2.85656e+15,8.97416e+15,2.85656e+15,1.2e-13,3.76991e-13,1.2e-13,2153.8,685.575,2153.8,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,139.192,1/alpha (err=1.57%),C1,Z=35 | Cov=120pm | geo=measured | IE=11.8138eV
Krypton (Kr Z=36),Map:     f+R->vx,vx_kms,1.16e-13,3.38509e+15,2467.22,3.38509e+15,1.06346e+16,3.38509e+15,1.16e-13,3.64425e-13,1.16e-13,2467.22,785.34,2467.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,121.51,1/alpha (err=11.33%),C1,Z=36 | Cov=116pm | geo=measured | IE=13.9996eV
Rubidium (Rb Z=37),Map:     f+R->vx,vx_kms,2.2e-13,1.01002e+15,1396.15,1.01002e+15,3.17307e+15,1.01002e+15,2.2e-13,6.9115e-13,2.2e-13,1396.15,444.408,1396.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,214.728,pi/(2alpha) (err=0.25%),C1,Z=37 | Cov=220pm | geo=measured | IE=4.1771eV
Strontium (Sr Z=38),Map:     f+R->vx,vx_kms,1.95e-13,1.37702e+15,1687.15,1.37702e+15,4.32604e+15,1.37702e+15,1.95e-13,6.12611e-13,1.95e-13,1687.15,537.038,1687.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,177.691,pi/(2alpha) (err=17.45%),C1,Z=38 | Cov=195pm | geo=measured | IE=5.6949eV
Yttrium (Y Z=39),Map:     f+R->vx,vx_kms,1.9e-13,1.50329e+15,1794.63,1.50329e+15,4.72272e+15,1.50329e+15,1.9e-13,5.96903e-13,1.9e-13,1794.63,571.249,1794.63,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,167.049,1/alpha (err=21.90%),C1,Z=39 | Cov=190pm | geo=measured | IE=6.2171eV
Zirconium (Zr Z=40),Map:     f+R->vx,vx_kms,1.75e-13,1.60407e+15,1763.77,1.60407e+15,5.03933e+15,1.60407e+15,1.75e-13,5.49779e-13,1.75e-13,1763.77,561.424,1763.77,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,169.973,pi/(2alpha) (err=21.04%),C1,Z=40 | Cov=175pm | geo=measured | IE=6.6339eV
Niobium (Nb Z=41),Map:     f+R->vx,vx_kms,1.64e-13,1.63429e+15,1684.05,1.63429e+15,5.13429e+15,1.63429e+15,1.64e-13,5.15221e-13,1.64e-13,1684.05,536.049,1684.05,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,178.019,pi/(2alpha) (err=17.30%),C1,Z=41 | Cov=164pm | geo=measured | IE=6.7589eV
Molybdenum (Mo Z=42),Map:     f+R->vx,vx_kms,1.54e-13,1.71493e+15,1659.39,1.71493e+15,5.38763e+15,1.71493e+15,1.54e-13,4.83805e-13,1.54e-13,1659.39,528.2,1659.39,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,180.664,pi/(2alpha) (err=16.07%),C1,Z=42 | Cov=154pm | geo=measured | IE=7.0924eV
Technetium (Tc Z=43),Map:     f+R->vx,vx_kms,1.47e-13,1.7603e+15,1625.86,1.7603e+15,5.53013e+15,1.7603e+15,1.47e-13,4.61814e-13,1.47e-13,1625.86,517.527,1625.86,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,184.39,pi/(2alpha) (err=14.34%),C1,Z=43 | Cov=147pm | geo=measured | IE=7.28eV
Ruthenium (Ru Z=44),Map:     f+R->vx,vx_kms,1.46e-13,1.77976e+15,1632.65,1.77976e+15,5.59128e+15,1.77976e+15,1.46e-13,4.58673e-13,1.46e-13,1632.65,519.69,1632.65,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,183.623,pi/(2alpha) (err=14.70%),C1,Z=44 | Cov=146pm | geo=measured | IE=7.3605eV
Rhodium (Rh Z=45),Map:     f+R->vx,vx_kms,1.42e-13,1.80355e+15,1609.15,1.80355e+15,5.66603e+15,1.80355e+15,1.42e-13,4.46106e-13,1.42e-13,1609.15,512.209,1609.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,186.304,pi/(2alpha) (err=13.45%),C1,Z=45 | Cov=142pm | geo=measured | IE=7.4589eV
Palladium (Pd Z=46),Map:     f+R->vx,vx_kms,1.39e-13,2.01585e+15,1760.57,2.01585e+15,6.33299e+15,2.01585e+15,1.39e-13,4.36681e-13,1.39e-13,1760.57,560.407,1760.57,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,170.281,pi/(2alpha) (err=20.89%),C1,Z=46 | Cov=139pm | geo=measured | IE=8.3369eV
Silver (Ag Z=47),Map:     f+R->vx,vx_kms,1.45e-13,1.83192e+15,1668.99,1.83192e+15,5.75514e+15,1.83192e+15,1.45e-13,4.55531e-13,1.45e-13,1668.99,531.256,1668.99,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,179.625,pi/(2alpha) (err=16.55%),C1,Z=47 | Cov=145pm | geo=measured | IE=7.5762eV
Cadmium (Cd Z=48),Map:     f+R->vx,vx_kms,1.44e-13,2.17469e+15,1967.61,2.17469e+15,6.83199e+15,2.17469e+15,1.44e-13,4.52389e-13,1.44e-13,1967.61,626.311,1967.61,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,152.363,1/alpha (err=11.18%),C1,Z=48 | Cov=144pm | geo=measured | IE=8.9938eV
Indium (In Z=49),Map:     f+R->vx,vx_kms,1.42e-13,1.39915e+15,1248.33,1.39915e+15,4.39554e+15,1.39915e+15,1.42e-13,4.46106e-13,1.42e-13,1248.33,397.357,1248.33,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,240.154,pi/(2alpha) (err=11.57%),C1,Z=49 | Cov=142pm | geo=measured | IE=5.7864eV
