name,R_pm,R_fm,f_eV,f_MeV,note,fault_hint
Iridium (Ir Z=77),141,,8.9670,,Z=77 cov=141pm IE=8.9670eV geo=measured,C1
Platinum (Pt Z=78),136,,8.9587,,Z=78 cov=136pm IE=8.9587eV geo=measured,C1
Gold (Au Z=79),136,,9.2255,,Z=79 cov=136pm IE=9.2255eV geo=measured,C1
Mercury (Hg Z=80),132,,10.4375,,Z=80 cov=132pm IE=10.4375eV geo=measured,C1
Thallium (Tl Z=81),145,,6.1082,,Z=81 cov=145pm IE=6.1082eV geo=measured,C1
Lead (Pb Z=82),146,,7.4167,,Z=82 cov=146pm IE=7.4167eV geo=measured,C1
Bismuth (Bi Z=83),148,,7.2856,,Z=83 cov=148pm IE=7.2856eV geo=measured,C1
Polonium (Po Z=84),140,,8.414,,Z=84 cov=140pm IE=8.414eV geo=measured,C1
Astatine (At Z=85),150,,9.317,,Z=85 cov=150pm IE=9.317eV geo=measured,C1
Radon (Rn Z=86),150,,10.7485,,Z=86 cov=150pm IE=10.7485eV geo=measured,C1
Francium (Fr Z=87),260,,4.0727,,Z=87 cov=260pm IE=4.0727eV geo=measured,C1
Radium (Ra Z=88),221,,5.2784,,Z=88 cov=221pm IE=5.2784eV geo=measured,C1
Actinium (Ac Z=89),215,,5.17,,Z=89 cov=215pm IE=5.17eV geo=measured,C1
Thorium (Th Z=90),206,,6.3067,,Z=90 cov=206pm IE=6.3067eV geo=measured,C1
Protactinium (Pa Z=91),200,,5.89,,Z=91 cov=200pm IE=5.89eV geo=measured,C1
Uranium (U Z=92),196,,6.1941,,Z=92 cov=196pm IE=6.1941eV geo=measured,C1
Neptunium (Np Z=93),190,,6.2657,,Z=93 cov=190pm IE=6.2657eV geo=measured,C1
Plutonium (Pu Z=94),187,,6.0260,,Z=94 cov=187pm IE=6.0260eV geo=measured,C1
Americium (Am Z=95),180,,5.9738,,Z=95 cov=180pm IE=5.9738eV geo=measured,C1
Curium (Cm Z=96),169,,5.9915,,Z=96 cov=169pm IE=5.9915eV geo=measured,C1
Berkelium (Bk Z=97),168,,6.1979,,Z=97 cov=168pm IE=6.1979eV geo=measured,C1
Californium (Cf Z=98),168,,6.2817,,Z=98 cov=168pm IE=6.2817eV geo=measured,C1
Einsteinium (Es Z=99),165,,6.3676,,Z=99 cov=165pm IE=6.3676eV geo=measured,C1
Fermium (Fm Z=100),167,,6.50,,Z=100 cov=167pm IE=6.50eV geo=measured,C1
Mendelevium (Md Z=101),173,,6.58,,Z=101 cov=173pm IE=6.58eV geo=measured,C1
Nobelium (No Z=102),176,,6.65,,Z=102 cov=176pm IE=6.65eV geo=measured,C1
Lawrencium (Lr Z=103),161,,4.96,,Z=103 cov=161pm IE=4.96eV geo=measured,C1
Rutherfordium (Rf Z=104),157,,6.02,,Z=104 cov=157pm IE=6.02eV geo=theoretical Pyykko2012,C1+G1
