Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Silicon-30 (Z=14 A=30),Detect:  f+vx->R,R_km,7.71951e-19,6.18089e+22,299792,6.18089e+22,1.94178e+23,6.18089e+22,7.71951e-19,2.42516e-18,7.71951e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=30 | Rc=3.1336fm | src=Angeli2013 | BE=255.621MeV
Phosphorus-31 (Z=15 A=31),Detect:  f+vx->R,R_km,7.5053e-19,6.3573e+22,299792,6.3573e+22,1.99721e+23,6.3573e+22,7.5053e-19,2.35786e-18,7.5053e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=15 A=31 | Rc=3.1889fm | src=Angeli2013 | BE=262.917MeV
Sulfur-32 (Z=16 A=32),Detect:  f+vx->R,R_km,7.26051e-19,6.57164e+22,299792,6.57164e+22,2.06454e+23,6.57164e+22,7.26051e-19,2.28096e-18,7.26051e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=32 | Rc=3.2611fm | src=Angeli2013 | BE=271.781MeV
Sulfur-33 (Z=16 A=33),Detect:  f+vx->R,R_km,7.03676e-19,6.7806e+22,299792,6.7806e+22,2.13019e+23,6.7806e+22,7.03676e-19,2.21066e-18,7.03676e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=33 | Rc=3.2418fm | src=Angeli2013 | BE=280.423MeV
Sulfur-34 (Z=16 A=34),Detect:  f+vx->R,R_km,6.7615e-19,7.05664e+22,299792,7.05664e+22,2.21691e+23,7.05664e+22,6.7615e-19,2.12419e-18,6.7615e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=34 | Rc=3.2858fm | src=Angeli2013 | BE=291.839MeV
Sulfur-36 (Z=16 A=36),Detect:  f+vx->R,R_km,6.3919e-19,7.46467e+22,299792,7.46467e+22,2.3451e+23,7.46467e+22,6.3919e-19,2.00808e-18,6.3919e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=36 | Rc=3.3fm | src=Angeli2013 | BE=308.714MeV
Chlorine-35 (Z=17 A=35),Detect:  f+vx->R,R_km,6.61705e-19,7.21069e+22,299792,7.21069e+22,2.2653e+23,7.21069e+22,6.61705e-19,2.07881e-18,6.61705e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 A=35 | Rc=3.3651fm | src=Angeli2013 | BE=298.21MeV
Chlorine-37 (Z=17 A=37),Detect:  f+vx->R,R_km,6.22276e-19,7.66756e+22,299792,7.66756e+22,2.40884e+23,7.66756e+22,6.22276e-19,1.95494e-18,6.22276e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 A=37 | Rc=3.3966fm | src=Angeli2013 | BE=317.105MeV
Argon-36 (Z=18 A=36),Detect:  f+vx->R,R_km,6.43354e-19,7.41636e+22,299792,7.41636e+22,2.32992e+23,7.41636e+22,6.43354e-19,2.02116e-18,6.43354e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=36 | Rc=3.4274fm | src=Angeli2013 | BE=306.716MeV
Argon-38 (Z=18 A=38),Detect:  f+vx->R,R_km,6.02814e-19,7.91512e+22,299792,7.91512e+22,2.48661e+23,7.91512e+22,6.02814e-19,1.8938e-18,6.02814e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=38 | Rc=3.403fm | src=Angeli2013 | BE=327.343MeV
